fips,name,population,area
01,Alabama,4893186,52420.08
02,Alaska,736990,665764.2
04,Arizona,7174064,113985
05,Arkansas,3011873,53198.21
06,California,39346023,163693.9
08,Colorado,5684926,104094.9
09,Connecticut,3570549,5543.699
10,Delaware,967679,2488.781
11,District of Columbia,701974,68.35008
12,Florida,21216924,71403.53
13,Georgia,10516579,59423.05
15,Hawaii,1420074,10969.86
16,Idaho,1754367,83568.54
17,Illinois,12716164,57913.42
18,Indiana,6696893,36421.25
19,Iowa,3150011,56272.73
20,Kansas,2912619,82278.17
21,Kentucky,4461952,40405.91
22,Louisiana,4664616,52375.39
23,Maine,1340825,35379.84
24,Maryland,6037624,12405.88
25,Massachusetts,6873003,10554.12
26,Michigan,9973907,96713.5
27,Minnesota,5600166,86943.27
28,Mississippi,2981835,48435.86
29,Missouri,6124160,69706.8
30,Montana,1061705,147043.3
31,Nebraska,1923826,77347.27
32,Nevada,3030281,110570.8
33,New Hampshire,1355244,9349.884
34,New Jersey,8885418,8718.959
35,New Mexico,2097021,121593.2
36,New York,19514849,54558.66
37,North Carolina,10386227,53818.56
38,North Dakota,760394,70698.82
39,Ohio,11675275,44825.83
40,Oklahoma,3949342,69899.13
41,Oregon,4176346,98378.59
42,Pennsylvania,12794885,46054.15
44,Rhode Island,1057798,1544.969
45,South Carolina,5091517,32023.48
46,South Dakota,879336,77116.05
47,Tennessee,6772268,42129.37
48,Texas,28635442,268595.8
49,Utah,3151239,84898.09
50,Vermont,624340,9615.228
51,Virginia,8509358,42774.81
53,Washington,7512465,71300.6
54,West Virginia,1807426,24230.04
55,Wisconsin,5806975,65496.82
56,Wyoming,581348,97809.8
72,Puerto Rico,3255642,5324.843
